ID,ComID,Geogname,Year,Datagroup,Diseases of the Circulatory System,Diseases of the Digestive System,Diseases of the Genitourinary System,Diseases of the Musculoskeletal System,Diseases of the Respiratory System,"Endocrine, Nutritional, and Metabolic",Infectious and Parasitic Diseases,Injury and Poisoning,Mental Disorders,Neoplasms,Total,Circulatory System: Heart Disease,Circulatory System: Major cerebrovascular diseas,Digestive System: esophagus,Digestive System: gall bladder,Digestive System: intestine & peritoneum,Genitourinary System: female genital organs,Genitourinary System: male genital organs,Genitourinary System: urinary system,Respiratory System: asthma,Respiratory System: COPD,Respiratory System: Pneumonia,Neoplasms: Malignant neoplasms,Sub Total,Males,Females,Both Genders
1,pro9012,Nova Scotia,1995,00-19,105,1360,435,426,3152,323,499,1421,679,131,8531,31,5,51,32,40,31,18,61,14,43,93,21,440,635,606,1241
2,pro9012,Nova Scotia,1995,20-39,506,2683,1782,860,1102,450,245,1588,2425,628,12269,79,16,72,92,71,65,13,90,8,13,79,69,667,876,702,1578
3,pro9012,Nova Scotia,1995,40-59,3739,3651,1786,1264,1137,531,199,1558,2041,2059,17965,134,73,98,126,102,67,33,99,15,69,87,121,1024,1048,946,1994
4,pro9012,Nova Scotia,1995,60 plus,12764,5506,2632,2445,4623,1033,517,3326,1399,4800,39045,139,128,122,120,120,59,66,126,30,124,129,131,1294,1193,1180,2373
5,pro9012,Nova Scotia,1995,All Ages,17114,13200,6635,4995,10014,2337,1460,7893,6544,7618,77810,383,222,343,370,333,222,130,376,67,249,388,342,3425,3752,3434,7186
6,pro9012,Nova Scotia,1996,00-19,111,1197,430,364,2634,319,441,1281,770,128,7675,30,5,38,34,38,26,22,70,12,32,95,19,421,606,625,1231
7,pro9012,Nova Scotia,1996,20-39,514,2449,1592,762,928,328,240,1449,2590,590,11442,77,11,67,92,78,66,11,77,7,20,54,68,628,847,651,1498
8,pro9012,Nova Scotia,1996,40-59,3551,3347,1732,1208,1156,483,169,1433,2108,2094,17281,130,77,89,119,105,66,35,101,13,59,95,119,1008,1045,936,1981
9,pro9012,Nova Scotia,1996,60 plus,12412,5057,2569,2308,4754,1056,448,3208,1409,4324,37545,138,125,117,123,120,61,63,123,32,124,128,135,1289,1180,1173,2353
10,pro9012,Nova Scotia,1996,All Ages,16588,12050,6323,4642,9472,2186,1298,7371,6877,7136,73943,375,218,311,368,341,219,131,371,64,235,372,341,3346,3678,3385,7063
11,pro9012,Nova Scotia,1997,00-19,130,1168,454,357,2430,305,436,1131,707,101,7219,38,4,49,32,43,26,16,69,6,34,95,21,433,610,587,1197
12,pro9012,Nova Scotia,1997,20-39,411,2292,1565,737,780,294,184,1353,2453,534,10603,67,10,64,90,68,64,16,85,4,11,57,56,592,807,630,1437
13,pro9012,Nova Scotia,1997,40-59,3721,3195,1802,1214,1194,493,196,1443,2174,2178,17610,131,61,93,112,107,67,29,100,17,73,94,119,1003,1024,931,1955
14,pro9012,Nova Scotia,1997,60 plus,12755,4867,2698,2260,5161,1101,487,3224,1310,4325,38188,139,129,108,118,128,58,64,121,28,127,133,131,1284,1179,1174,2353
15,pro9012,Nova Scotia,1997,All Ages,17017,11522,6519,4568,9565,2193,1303,7151,6644,7138,73620,375,204,314,352,346,215,125,375,55,245,379,327,3312,3620,3322,6942
16,pro9012,Nova Scotia,1998,00-19,121,1122,470,388,2484,287,433,1093,532,124,7054,32,6,48,33,42,24,16,67,3,22,95,23,411,587,591,1178
17,pro9012,Nova Scotia,1998,20-39,446,2318,1525,699,785,300,171,1379,2055,544,10222,71,16,59,89,63,65,13,85,3,13,52,54,583,784,635,1419
18,pro9012,Nova Scotia,1998,40-59,3648,3346,1856,1204,1134,488,169,1411,1902,2220,17378,135,70,96,115,99,65,35,105,13,71,91,125,1020,1017,936,1953
19,pro9012,Nova Scotia,1998,60 plus,12194,5030,2744,2316,5160,1042,450,3344,1190,4496,37966,137,127,117,121,124,56,63,119,26,127,131,133,1281,1183,1158,2341
20,pro9012,Nova Scotia,1998,All Ages,16409,11816,6595,4607,9563,2117,1223,7227,5679,7384,72620,375,219,320,358,328,210,127,376,45,233,369,335,3295,3571,3320,6891
21,pro9012,Nova Scotia,1999,00-19,95,1050,427,386,2188,361,432,1162,517,113,6731,22,9,36,36,47,24,17,72,8,23,87,21,402,592,559,1151
22,pro9012,Nova Scotia,1999,20-39,398,2148,1406,667,809,267,177,1313,1928,541,9654,77,11,51,92,74,65,15,79,4,15,65,64,612,779,624,1403
23,pro9012,Nova Scotia,1999,40-59,3553,3203,1947,1170,1113,501,180,1612,1790,2153,17222,131,62,94,114,108,65,38,101,12,69,93,126,1013,1020,938,1958
24,pro9012,Nova Scotia,1999,60 plus,11673,4867,2602,2314,5117,1020,410,3118,1132,4538,36791,139,127,114,125,123,61,65,121,23,129,130,131,1288,1185,1170,2355
25,pro9012,Nova Scotia,1999,All Ages,15719,11268,6382,4537,9227,2149,1199,7205,5367,7345,70398,369,209,295,367,352,215,135,373,47,236,375,342,3315,3576,3291,6867
26,pro9012,Nova Scotia,2000,00-19,92,1006,377,355,1700,303,378,1035,467,101,5814,25,10,34,37,32,22,11,64,7,27,90,20,379,543,559,1102
27,pro9012,Nova Scotia,2000,20-39,326,1948,1378,613,615,292,144,1258,1578,481,8633,66,12,58,93,70,68,12,80,2,11,54,51,577,772,621,1393
28,pro9012,Nova Scotia,2000,40-59,3346,3168,1759,1129,1045,488,187,1679,1536,2066,16403,130,78,93,118,103,66,34,99,13,78,90,119,1021,1020,944,1964
29,pro9012,Nova Scotia,2000,60 plus,11272,4546,2436,2217,4436,1011,393,3061,1025,4107,34504,136,125,110,121,127,57,64,126,19,128,132,134,1279,1165,1160,2325
30,pro9012,Nova Scotia,2000,All Ages,15036,10668,5950,4314,7796,2094,1102,7033,4606,6755,65354,357,225,295,369,332,213,121,369,41,244,366,324,3256,3500,3284,6784
31,cnt1205,Annapolis County,1995,00-19,2,24,4,6,63,5,5,20,11,2,142,1,0,4,0,1,0,1,3,1,5,6,0,22,33,38,71
32,cnt1205,Annapolis County,1995,20-39,9,69,28,19,23,3,6,24,72,14,267,4,0,2,7,4,6,1,4,0,0,5,3,36,55,46,101
33,cnt1205,Annapolis County,1995,40-59,96,104,33,21,20,12,1,45,52,51,435,14,2,5,12,8,7,1,7,1,2,4,10,73,73,70,143
34,cnt1205,Annapolis County,1995,60 plus,464,162,80,85,156,39,19,91,36,138,1270,14,13,11,10,14,5,6,11,0,12,13,13,122,113,105,218
35,cnt1205,Annapolis County,1995,All Ages,571,359,145,131,262,59,31,180,171,205,2114,33,15,22,29,27,18,9,25,2,19,28,26,253,274,259,533
36,cnt1205,Annapolis County,1996,00-19,2,28,5,8,54,3,4,23,16,0,143,1,1,3,0,2,2,0,2,0,2,5,0,18,31,41,72
37,cnt1205,Annapolis County,1996,20-39,10,45,30,16,11,3,4,40,96,4,259,3,0,1,6,5,7,0,3,0,0,1,2,28,50,41,91
38,cnt1205,Annapolis County,1996,40-59,92,86,27,19,29,14,1,21,48,40,377,13,3,7,11,7,7,2,8,1,4,6,12,81,82,66,148
39,cnt1205,Annapolis County,1996,60 plus,416,176,87,58,149,27,11,121,33,144,1222,14,11,10,14,11,7,6,11,0,10,12,14,120,111,98,209
40,cnt1205,Annapolis County,1996,All Ages,520,335,149,101,243,47,20,205,193,188,2001,31,15,21,31,25,23,8,24,1,16,24,28,247,274,246,520
41,cnt1205,Annapolis County,1997,00-19,2,17,2,11,58,5,7,26,8,0,136,1,0,3,3,2,0,1,1,0,3,6,0,20,33,40,73
42,cnt1205,Annapolis County,1997,20-39,11,55,33,7,16,4,1,23,40,3,193,3,0,0,6,7,7,1,4,0,0,1,0,29,54,31,85
43,cnt1205,Annapolis County,1997,40-59,113,90,44,28,25,9,7,30,33,34,413,12,4,5,8,9,7,0,7,0,3,6,11,72,80,65,145
44,cnt1205,Annapolis County,1997,60 plus,466,182,66,59,193,21,17,103,26,147,1280,14,13,5,14,14,7,5,11,0,12,13,14,122,107,113,220
45,cnt1205,Annapolis County,1997,All Ages,592,344,145,105,292,39,32,182,107,184,2022,30,17,13,31,32,21,7,23,0,18,26,25,243,274,249,523
46,cnt1205,Annapolis County,1998,00-19,3,22,2,7,53,8,9,17,9,1,131,1,0,3,2,1,1,0,1,0,1,6,1,17,37,34,71
47,cnt1205,Annapolis County,1998,20-39,11,49,31,6,8,6,2,27,50,8,198,4,1,5,8,3,6,0,5,0,0,1,2,35,51,36,87
48,cnt1205,Annapolis County,1998,40-59,92,84,48,28,31,9,3,23,24,40,382,13,4,8,12,7,6,2,7,0,4,7,11,81,80,75,155
49,cnt1205,Annapolis County,1998,60 plus,436,178,72,74,158,27,15,119,34,119,1232,13,12,10,13,13,4,7,10,0,11,13,13,119,104,105,209
50,cnt1205,Annapolis County,1998,All Ages,542,333,153,115,250,50,29,186,117,168,1943,31,17,26,35,24,17,9,23,0,16,27,27,252,272,250,522
51,cnt1205,Annapolis County,1999,00-19,,24,6,4,36,4,8,17,4,,103,0,0,2,3,1,0,1,2,0,3,4,0,16,29,31,60
52,cnt1205,Annapolis County,1999,20-39,7,46,35,12,11,2,8,24,36,10,191,4,0,1,7,5,7,0,4,0,1,3,5,37,45,44,89
53,cnt1205,Annapolis County,1999,40-59,103,91,55,45,24,22,11,52,27,32,462,11,7,8,8,11,6,2,7,1,2,7,10,80,93,66,159
54,cnt1205,Annapolis County,1999,60 plus,468,185,68,90,214,38,14,108,41,142,1368,14,12,10,12,14,6,6,12,5,12,13,14,130,112,115,227
55,cnt1205,Annapolis County,1999,All Ages,578,346,164,151,285,66,41,201,108,184,2124,29,19,21,30,31,19,9,25,6,18,27,29,263,279,256,535
56,cnt1205,Annapolis County,2000,00-19,3,21,3,8,51,1,6,22,2,2,119,2,0,2,2,0,0,1,2,2,4,6,1,22,27,37,64
57,cnt1205,Annapolis County,2000,20-39,9,61,48,12,12,4,5,23,12,11,197,4,0,1,9,6,7,0,7,0,1,1,3,39,60,37,97
58,cnt1205,Annapolis County,2000,40-59,102,97,43,37,28,20,3,29,21,37,417,13,5,9,9,9,7,2,6,0,7,9,10,86,89,78,167
59,cnt1205,Annapolis County,2000,60 plus,468,186,77,84,169,38,24,93,30,124,1293,14,13,9,12,12,7,6,12,1,11,13,13,123,110,115,225
60,cnt1205,Annapolis County,2000,All Ages,582,365,171,141,260,63,38,167,65,174,2026,33,18,21,32,27,21,9,27,3,23,29,27,270,286,267,553
61,cnt1214,Antigonish County,1995,00-19,3,44,10,16,102,2,15,47,15,11,265,2,0,2,1,3,2,0,3,0,6,5,2,26,37,28,65
62,cnt1214,Antigonish County,1995,20-39,15,71,28,16,18,4,2,42,43,9,248,3,2,3,3,4,3,0,4,0,0,2,2,26,35,32,67
63,cnt1214,Antigonish County,1995,40-59,85,74,41,19,26,6,7,33,47,28,366,6,3,6,6,6,3,0,4,2,3,3,6,48,49,41,90
64,cnt1214,Antigonish County,1995,60 plus,304,126,46,60,132,19,19,75,45,79,905,6,6,6,5,5,2,3,6,2,6,6,6,59,52,56,108
65,cnt1214,Antigonish County,1995,All Ages,407,315,125,111,278,31,43,197,150,127,1784,17,11,17,15,18,10,3,17,4,15,16,16,159,173,157,330
66,cnt1214,Antigonish County,1996,00-19,1,30,11,14,89,3,16,28,26,7,225,1,0,0,2,0,2,1,5,1,5,6,1,24,33,30,63
67,cnt1214,Antigonish County,1996,20-39,12,43,22,20,19,5,8,29,63,10,231,3,0,5,4,3,3,0,2,0,1,2,3,26,43,29,72
68,cnt1214,Antigonish County,1996,40-59,78,83,23,37,33,3,5,42,57,28,389,6,3,6,5,6,3,0,3,2,4,5,5,48,49,43,92
69,cnt1214,Antigonish County,1996,60 plus,259,107,37,65,148,18,14,75,50,82,855,6,6,6,6,6,3,2,5,2,6,6,6,60,56,57,113
70,cnt1214,Antigonish County,1996,All Ages,350,263,93,136,289,29,43,174,196,127,1700,16,9,17,17,15,11,3,15,5,16,19,15,158,181,159,340
71,cnt1214,Antigonish County,1997,00-19,1,31,5,10,83,3,5,26,16,2,182,0,0,2,1,0,1,1,2,0,4,5,1,17,24,28,52
72,cnt1214,Antigonish County,1997,20-39,5,33,19,14,25,1,5,23,49,13,187,1,0,3,4,1,2,2,4,0,1,5,3,26,37,28,65
73,cnt1214,Antigonish County,1997,40-59,71,95,28,34,33,7,5,34,38,47,392,6,1,4,6,6,3,1,4,0,3,5,6,45,48,42,90
74,cnt1214,Antigonish County,1997,60 plus,240,83,33,59,163,18,14,74,34,67,785,6,6,5,5,6,3,2,6,1,6,6,6,58,55,52,107
75,cnt1214,Antigonish County,1997,All Ages,317,242,85,117,304,29,29,157,137,129,1546,13,7,14,16,13,9,6,16,1,14,21,16,146,164,150,314
76,cnt1214,Antigonish County,1998,00-19,5,27,9,10,95,2,9,27,22,2,208,2,0,1,1,3,1,1,5,1,3,6,1,25,31,30,61
77,cnt1214,Antigonish County,1998,20-39,4,71,24,17,25,3,3,29,25,7,208,0,0,3,4,3,3,0,3,0,2,3,2,23,36,28,64
78,cnt1214,Antigonish County,1998,40-59,77,84,33,31,33,4,8,36,37,33,376,6,4,5,6,6,3,0,5,1,4,4,6,50,48,45,93
79,cnt1214,Antigonish County,1998,60 plus,272,116,57,56,174,15,19,68,28,89,894,6,6,4,6,5,3,3,4,1,6,6,6,56,55,52,107
