Geogname,Year,Datagroup,Diseases of the Respiratory System,Infectious and Parasitic Diseases,Respiratory System: asthma,Respiratory System: Pneumonia,Males,Females,Both Genders,min temperature,max temperature,Respiratory System: COPD
0,1997,1,780,184,4,57,807,630,1437,-2.9,17.9,11
0,2000,1,615,144,2,54,772,621,1393,-2.9,17.9,11
0,1995,1,1102,245,8,79,876,702,1578,-2.9,17.9,13
0,1998,1,785,171,3,52,784,635,1419,-2.9,17.9,13
0,1999,1,809,177,4,65,779,624,1403,-2.9,17.9,15
0,1996,1,928,240,7,54,847,651,1498,-2.9,17.9,20
0,1998,0,2484,433,3,95,587,591,1178,-2.9,17.9,22
0,1999,0,2188,432,8,87,592,559,1151,-2.9,17.9,23
0,2000,0,1700,378,7,90,543,559,1102,-2.9,17.9,27
0,1996,0,2634,441,12,95,606,625,1231,-2.9,17.9,32
0,1997,0,2430,436,6,95,610,587,1197,-2.9,17.9,34
0,1995,0,3152,499,14,93,635,606,1241,-2.9,17.9,43
0,1996,2,1156,169,13,95,1045,936,1981,-2.9,17.9,59
0,1995,2,1137,199,15,87,1048,946,1994,-2.9,17.9,69
0,1999,2,1113,180,12,93,1020,938,1958,-2.9,17.9,69
0,1998,2,1134,169,13,91,1017,936,1953,-2.9,17.9,71
0,1997,2,1194,196,17,94,1024,931,1955,-2.9,17.9,73
0,2000,2,1045,187,13,90,1020,944,1964,-2.9,17.9,78
0,1995,3,4623,517,30,129,1193,1180,2373,-2.9,17.9,124
0,1996,3,4754,448,32,128,1180,1173,2353,-2.9,17.9,124
0,1997,3,5161,487,28,133,1179,1174,2353,-2.9,17.9,127
0,1998,3,5160,450,26,131,1183,1158,2341,-2.9,17.9,127
0,2000,3,4436,393,19,132,1165,1160,2325,-2.9,17.9,128
0,1999,3,5117,410,23,130,1185,1170,2355,-2.9,17.9,129
0,1998,4,9563,1223,45,369,3571,3320,6891,-2.9,17.9,233
0,1996,4,9472,1298,64,372,3678,3385,7063,-2.9,17.9,235
0,1999,4,9227,1199,47,375,3576,3291,6867,-2.9,17.9,236
0,2000,4,7796,1102,41,366,3500,3284,6784,-2.9,17.9,244
0,1997,4,9565,1303,55,379,3620,3322,6942,-2.9,17.9,245
0,1995,4,10014,1460,67,388,3752,3434,7186,-2.9,17.9,249
1,1995,1,23,6,0,5,55,46,101,-1.4,18.3,0
1,1996,1,11,4,0,1,50,41,91,-1.4,18.3,0
1,1997,1,16,1,0,1,54,31,85,-1.4,18.3,0
1,1998,1,8,2,0,1,51,36,87,-1.4,18.3,0
1,1998,0,53,9,0,6,37,34,71,-1.4,18.3,1
1,1999,1,11,8,0,3,45,44,89,-1.4,18.3,1
1,2000,1,12,5,0,1,60,37,97,-1.4,18.3,1
1,1995,2,20,1,1,4,73,70,143,-1.4,18.3,2
1,1996,0,54,4,0,5,31,41,72,-1.4,18.3,2
1,1999,2,24,11,1,7,93,66,159,-1.4,18.3,2
1,1997,0,58,7,0,6,33,40,73,-1.4,18.3,3
1,1997,2,25,7,0,6,80,65,145,-1.4,18.3,3
1,1999,0,36,8,0,4,29,31,60,-1.4,18.3,3
1,1996,2,29,1,1,6,82,66,148,-1.4,18.3,4
1,1998,2,31,3,0,7,80,75,155,-1.4,18.3,4
1,2000,0,51,6,2,6,27,37,64,-1.4,18.3,4
1,1995,0,63,5,1,6,33,38,71,-1.4,18.3,5
1,2000,2,28,3,0,9,89,78,167,-1.4,18.3,7
1,1996,3,149,11,0,12,111,98,209,-1.4,18.3,10
1,1998,3,158,15,0,13,104,105,209,-1.4,18.3,11
1,2000,3,169,24,1,13,110,115,225,-1.4,18.3,11
1,1995,3,156,19,0,13,113,105,218,-1.4,18.3,12
1,1997,3,193,17,0,13,107,113,220,-1.4,18.3,12
1,1999,3,214,14,5,13,112,115,227,-1.4,18.3,12
1,1996,4,243,20,1,24,274,246,520,-1.4,18.3,16
1,1998,4,250,29,0,27,272,250,522,-1.4,18.3,16
1,1997,4,292,32,0,26,274,249,523,-1.4,18.3,18
1,1999,4,285,41,6,27,279,256,535,-1.4,18.3,18
1,1995,4,262,31,2,28,274,259,533,-1.4,18.3,19
1,2000,4,260,38,3,29,286,267,553,-1.4,18.3,23
2,1995,1,18,2,0,2,35,32,67,-2.692308,17.523077,0
2,1999,1,13,7,0,3,40,29,69,-2.692308,17.523077,0
2,2000,1,6,5,0,4,35,29,64,-2.692308,17.523077,0
2,1996,1,19,8,0,2,43,29,72,-2.692308,17.523077,1
2,1997,1,25,5,0,5,37,28,65,-2.692308,17.523077,1
2,1998,1,25,3,0,3,36,28,64,-2.692308,17.523077,2
2,1995,2,26,7,2,3,49,41,90,-2.692308,17.523077,3
2,1997,2,33,5,0,5,48,42,90,-2.692308,17.523077,3
2,1998,0,95,9,1,6,31,30,61,-2.692308,17.523077,3
2,1996,2,33,5,2,5,49,43,92,-2.692308,17.523077,4
2,1997,0,83,5,0,5,24,28,52,-2.692308,17.523077,4
2,1998,2,33,8,1,4,48,45,93,-2.692308,17.523077,4
2,1999,0,65,9,0,4,30,32,62,-2.692308,17.523077,4
2,2000,2,29,4,0,6,49,44,93,-2.692308,17.523077,4
2,1996,0,89,16,1,6,33,30,63,-2.692308,17.523077,5
2,1999,2,49,7,1,5,51,47,98,-2.692308,17.523077,5
2,2000,0,64,7,0,6,26,30,56,-2.692308,17.523077,5
2,1995,0,102,15,0,5,37,28,65,-2.692308,17.523077,6
2,1995,3,132,19,2,6,52,56,108,-2.692308,17.523077,6
2,1996,3,148,14,2,6,56,57,113,-2.692308,17.523077,6
2,1997,3,163,14,1,6,55,52,107,-2.692308,17.523077,6
2,1998,3,174,19,1,6,55,52,107,-2.692308,17.523077,6
2,1999,3,156,21,0,6,53,55,108,-2.692308,17.523077,6
2,2000,3,169,16,0,6,55,53,108,-2.692308,17.523077,6
2,1997,4,304,29,1,21,164,150,314,-2.692308,17.523077,14
2,1995,4,278,43,4,16,173,157,330,-2.692308,17.523077,15
2,1998,4,327,39,3,19,170,155,325,-2.692308,17.523077,15
2,1999,4,283,44,1,18,174,163,337,-2.692308,17.523077,15
2,2000,4,268,32,0,22,165,156,321,-2.692308,17.523077,15
